representative,full_name,bioguide_id,party,state,state_abbr,district,district_code,district_key,official_url,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,govtrack_id,icpsr_id,wikidata_id,first_name,last_name,office,address,phone,term_start,term_end
Underwood,Lauren Underwood,U000040,Democratic,IL,IL,14.0,14.0,IL-14,https://underwood.house.gov,379,2,0,1,0,382,380,0.3,99.7,0.5,412776.0,21979.0,Q48471874,Lauren,Underwood,2228 Rayburn House Office Building,2228 Rayburn House Office Building Washington DC 20515-1314,202-225-2976,2025-01-03,2027-01-03
Carson,André Carson,C001072,Democratic,IN,IN,7.0,7.0,IN-07,https://carson.house.gov,374,5,0,3,0,382,377,0.8,99.2,1.3,412258.0,20757.0,Q517649,André,Carson,2135 Rayburn House Office Building,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,2025-01-03,2027-01-03
Mrvan,Frank J. Mrvan,M001214,Democratic,IN,IN,1.0,1.0,IN-01,https://mrvan.house.gov,342,10,1,29,0,382,371,7.8,92.2,2.6,456821.0,,Q96077897,Frank,Mrvan,2441 Rayburn House Office Building,2441 Rayburn House Office Building Washington DC 20515-1401,202-225-2461,2025-01-03,2027-01-03
Davids (KS),Sharice Davids,D000629,Democratic,KS,KS,3.0,3.0,KS-03,https://davids.house.gov,348,3,0,31,0,382,379,8.2,91.8,0.8,412780.0,21914.0,Q58322868,Sharice,Davids,2435 Rayburn House Office Building,2435 Rayburn House Office Building Washington DC 20515-1603,202-225-2865,2025-01-03,2027-01-03
McGarvey,Morgan McGarvey,M001220,Democratic,KY,KY,3.0,3.0,KY-03,https://mcgarvey.house.gov,378,1,0,3,0,382,381,0.8,99.2,0.3,456904.0,,Q16732298,Morgan,McGarvey,1527 Longworth House Office Building,1527 Longworth House Office Building Washington DC 20515-1703,202-225-5401,2025-01-03,2027-01-03
Carter (LA),Troy A. Carter,C001125,Democratic,LA,LA,2.0,2.0,LA-02,https://troycarter.house.gov,370,5,0,7,0,382,377,1.9,98.1,1.3,456860.0,,Q7846787,Troy,Carter,442 Cannon House Office Building,442 Cannon House Office Building Washington DC 20515-1802,202-225-6636,2025-01-03,2027-01-03
Fields,Cleo Fields,F000110,Democratic,LA,LA,6.0,6.0,LA-06,https://fields.house.gov,361,13,1,7,0,382,368,1.9,98.1,3.4,404067.0,29354.0,Q1100451,Cleo,Fields,2349 Rayburn House Office Building,2349 Rayburn House Office Building Washington DC 20515-1806,202-225-3901,2025-01-03,2027-01-03
Auchincloss,Jake Auchincloss,A000148,Democratic,MA,MA,4.0,4.0,MA-04,https://auchincloss.house.gov,347,19,0,16,0,382,363,4.4,95.6,5.0,456825.0,,Q101196632,Jake,Auchincloss,1524 Longworth House Office Building,1524 Longworth House Office Building Washington DC 20515-2104,202-225-5931,2025-01-03,2027-01-03
Clark (MA),Katherine M. Clark,C001101,Democratic,MA,MA,5.0,5.0,MA-05,https://katherineclark.house.gov,377,0,1,4,0,382,381,1.0,99.0,0.0,412600.0,21375.0,Q6376330,Katherine,Clark,2368 Rayburn House Office Building,2368 Rayburn House Office Building Washington DC 20515-2105,202-225-2836,2025-01-03,2027-01-03
Keating,William R. Keating,K000375,Democratic,MA,MA,9.0,9.0,MA-09,https://keating.house.gov,356,17,0,9,0,382,365,2.5,97.5,4.5,412435.0,21140.0,Q775412,William,Keating,2372 Rayburn House Office Building,2372 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,2025-01-03,2027-01-03
Lynch,Stephen F. Lynch,L000562,Democratic,MA,MA,8.0,8.0,MA-08,https://lynch.house.gov,355,9,0,18,0,382,373,4.8,95.2,2.4,400249.0,20119.0,Q2344921,Stephen,Lynch,2109 Rayburn House Office Building,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,2025-01-03,2027-01-03
McGovern,James P. McGovern,M000312,Democratic,MA,MA,2.0,2.0,MA-02,https://mcgovern.house.gov,374,8,0,0,0,382,374,0.0,100.0,2.1,400263.0,29729.0,Q1337459,James,McGovern,370 Cannon House Office Building,370 Cannon House Office Building Washington DC 20515-2102,202-225-6101,2025-01-03,2027-01-03
Moulton,Seth Moulton,M001196,Democratic,MA,MA,6.0,6.0,MA-06,https://moulton.house.gov,336,38,0,8,0,382,344,2.3,97.7,9.9,412632.0,21525.0,Q18045052,Seth,Moulton,1126 Longworth House Office Building,1126 Longworth House Office Building Washington DC 20515-2106,202-225-8020,2025-01-03,2027-01-03
Neal,Richard E. Neal,N000015,Democratic,MA,MA,1.0,1.0,MA-01,https://neal.house.gov,366,13,0,3,0,382,369,0.8,99.2,3.4,400291.0,15616.0,Q1464697,Richard,Neal,372 Cannon House Office Building,372 Cannon House Office Building Washington DC 20515-2101,202-225-5601,2025-01-03,2027-01-03
Pressley,Ayanna Pressley,P000617,Democratic,MA,MA,7.0,7.0,MA-07,https://pressley.house.gov,378,4,0,0,0,382,378,0.0,100.0,1.0,412782.0,21955.0,Q13562359,Ayanna,Pressley,402 Cannon House Office Building,402 Cannon House Office Building Washington DC 20515-2107,202-225-5111,2025-01-03,2027-01-03
Trahan,Lori Trahan,T000482,Democratic,MA,MA,3.0,3.0,MA-03,https://trahan.house.gov,359,16,0,7,0,382,366,1.9,98.1,4.2,412781.0,21977.0,Q56486676,Lori,Trahan,2233 Rayburn House Office Building,2233 Rayburn House Office Building Washington DC 20515-2103,202-225-3411,2025-01-03,2027-01-03
Elfreth,Sarah Elfreth,E000301,Democratic,MD,MD,3.0,3.0,MD-03,https://elfreth.house.gov,376,0,0,6,0,382,382,1.6,98.4,0.0,456992.0,,Q61970401,Sarah,Elfreth,1213 Longworth House Office Building,1213 Longworth House Office Building Washington DC 20515-2003,202-225-4016,2025-01-03,2027-01-03
Hoyer,Steny H. Hoyer,H000874,Democratic,MD,MD,5.0,5.0,MD-05,https://hoyer.house.gov,361,7,2,12,0,382,373,3.2,96.8,1.8,400189.0,14873.0,Q516515,Steny,Hoyer,1705 Longworth House Office Building,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,2025-01-03,2027-01-03
Ivey,Glenn Ivey,I000058,Democratic,MD,MD,4.0,4.0,MD-04,https://ivey.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,456905.0,,Q22004572,Glenn,Ivey,1610 Longworth House Office Building,1610 Longworth House Office Building Washington DC 20515-2004,202-225-8699,2025-01-03,2027-01-03
McClain Delaney,,,Democratic,MD,MD,,,,,355,8,0,19,0,382,374,5.1,94.9,2.1,,,,,,,,,,
Mfume,Kweisi Mfume,M000687,Democratic,MD,MD,7.0,7.0,MD-07,https://mfume.house.gov,368,12,0,2,0,382,370,0.5,99.5,3.1,407672.0,15433.0,Q519504,Kweisi,Mfume,2263 Rayburn House Office Building,2263 Rayburn House Office Building Washington DC 20515-2007,202-225-4741,2025-01-03,2027-01-03
Olszewski,"Johnny Olszewski, Jr.",O000176,Democratic,MD,MD,2.0,2.0,MD-02,https://olszewski.house.gov,374,1,2,5,0,382,379,1.3,98.7,0.3,456991.0,,Q6217866,Johnny,Olszewski,1339 Longworth House Office Building,1339 Longworth House Office Building Washington DC 20515-2002,202-225-3061,2025-01-03,2027-01-03
Raskin,Jamie Raskin,R000606,Democratic,MD,MD,8.0,8.0,MD-08,https://raskin.house.gov,378,2,0,2,0,382,380,0.5,99.5,0.5,412708.0,21741.0,Q640835,Jamie,Raskin,2242 Rayburn House Office Building,2242 Rayburn House Office Building Washington DC 20515-2008,202-225-5341,2025-01-03,2027-01-03
Golden (ME),Jared F. Golden,G000592,Democratic,ME,ME,2.0,2.0,ME-02,https://golden.house.gov,263,11,0,108,0,382,371,29.1,70.9,2.9,412842.0,21923.0,Q41694157,Jared,Golden,1107 Longworth House Office Building,1107 Longworth House Office Building Washington DC 20515-1902,202-225-6306,2025-01-03,2027-01-03
Pingree,Chellie Pingree,P000597,Democratic,ME,ME,1.0,1.0,ME-01,https://pingree.house.gov,365,14,0,3,0,382,368,0.8,99.2,3.7,412307.0,20920.0,Q457243,Chellie,Pingree,2354 Rayburn House Office Building,2354 Rayburn House Office Building Washington DC 20515-1901,202-225-6116,2025-01-03,2027-01-03
Dingell,Debbie Dingell,D000624,Democratic,MI,MI,6.0,6.0,MI-06,https://debbiedingell.house.gov,375,6,0,1,0,382,376,0.3,99.7,1.6,412637.0,21529.0,Q5248232,Debbie,Dingell,102 Cannon House Office Building,102 Cannon House Office Building Washington DC 20515-2206,202-225-4071,2025-01-03,2027-01-03
McDonald Rivet,,,Democratic,MI,MI,,,,,336,0,1,45,0,382,381,11.8,88.2,0.0,,,,,,,,,,
Scholten,Hillary J. Scholten,S001221,Democratic,MI,MI,3.0,3.0,MI-03,https://scholten.house.gov,345,4,0,33,0,382,378,8.7,91.3,1.0,456906.0,,Q115137368,Hillary,Scholten,1317 Longworth House Office Building,1317 Longworth House Office Building Washington DC 20515-2203,202-225-3831,2025-01-03,2027-01-03
Stevens,Haley M. Stevens,S001215,Democratic,MI,MI,11.0,11.0,MI-11,https://stevens.house.gov,364,1,0,17,0,382,381,4.5,95.5,0.3,412786.0,21972.0,Q58322563,Haley,Stevens,2411 Rayburn House Office Building,2411 Rayburn House Office Building Washington DC 20515-2211,202-225-8171,2025-01-03,2027-01-03
Thanedar,Shri Thanedar,T000488,Democratic,MI,MI,13.0,13.0,MI-13,https://thanedar.house.gov,369,2,0,11,0,382,380,2.9,97.1,0.5,456908.0,,Q7503912,Shri,Thanedar,154 Cannon House Office Building,154 Cannon House Office Building Washington DC 20515-2213,202-225-5802,2025-01-03,2027-01-03
Tlaib,Rashida Tlaib,T000481,Democratic,MI,MI,12.0,12.0,MI-12,https://tlaib.house.gov,374,7,0,1,0,382,375,0.3,99.7,1.8,412787.0,21975.0,Q7294939,Rashida,Tlaib,2438 Rayburn House Office Building,2438 Rayburn House Office Building Washington DC 20515-2212,202-225-5126,2025-01-03,2027-01-03
Craig,Angie Craig,C001119,Democratic,MN,MN,2.0,2.0,MN-02,https://craig.house.gov,360,1,0,21,0,382,381,5.5,94.5,0.3,412789.0,21910.0,Q58324174,Angie,Craig,2052 Rayburn House Office Building,2052 Rayburn House Office Building Washington DC 20515-2302,202-225-2271,2025-01-03,2027-01-03
McCollum,Betty McCollum,M001143,Democratic,MN,MN,4.0,4.0,MN-04,https://mccollum.house.gov,377,1,2,2,0,382,379,0.5,99.5,0.3,400259.0,20122.0,Q434893,Betty,McCollum,2426 Rayburn House Office Building,2426 Rayburn House Office Building Washington DC 20515-2304,202-225-6631,2025-01-03,2027-01-03
Morrison,Kelly Morrison,M001234,Democratic,MN,MN,3.0,3.0,MN-03,https://morrison.house.gov,374,1,0,7,0,382,381,1.8,98.2,0.3,456996.0,,Q58416636,Kelly,Morrison,1205 Longworth House Office Building,1205 Longworth House Office Building Washington DC 20515-2303,202-225-2871,2025-01-03,2027-01-03
Omar,Ilhan Omar,O000173,Democratic,MN,MN,5.0,5.0,MN-05,https://omar.house.gov,371,8,0,3,0,382,374,0.8,99.2,2.1,412791.0,21950.0,Q26436159,Ilhan,Omar,1730 Longworth House Office Building,1730 Longworth House Office Building Washington DC 20515-2305,202-225-4755,2025-01-03,2027-01-03
Bell,Wesley Bell,B001324,Democratic,MO,MO,1.0,1.0,MO-01,https://bell.house.gov,365,8,1,8,0,382,373,2.1,97.9,2.1,456997.0,,Q23806350,Wesley,Bell,1429 Longworth House Office Building,1429 Longworth House Office Building Washington DC 20515-2501,202-225-2406,2025-01-03,2027-01-03
Cleaver,Emanuel Cleaver,C001061,Democratic,MO,MO,5.0,5.0,MO-05,https://cleaver.house.gov,360,20,0,2,0,382,362,0.6,99.4,5.2,400639.0,20517.0,Q1334654,Emanuel,Cleaver,2217 Rayburn House Office Building,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,2025-01-03,2027-01-03
Thompson (MS),Bennie G. Thompson,T000193,Democratic,MS,MS,2.0,2.0,MS-02,https://benniethompson.house.gov,369,8,0,5,0,382,374,1.3,98.7,2.1,400402.0,29368.0,Q817877,Bennie,Thompson,2466 Rayburn House Office Building,2466 Rayburn House Office Building Washington DC 20515-2402,202-225-5876,2025-01-03,2027-01-03
Adams,Alma S. Adams,A000370,Democratic,NC,NC,12.0,12.0,NC-12,https://adams.house.gov,381,0,0,1,0,382,382,0.3,99.7,0.0,412607.0,21545.0,Q4733597,Alma,Adams,2436 Rayburn House Office Building,2436 Rayburn House Office Building Washington DC 20515-3312,202-225-1510,2025-01-03,2027-01-03
Davis (NC),Donald G. Davis,D000230,Democratic,NC,NC,1.0,1.0,NC-01,https://dondavis.house.gov,271,0,2,109,0,382,380,28.7,71.3,0.0,456912.0,,Q5294403,Donald,Davis,1123 Longworth House Office Building,1123 Longworth House Office Building Washington DC 20515-3301,202-225-3101,2025-01-03,2027-01-03
Foushee,Valerie P. Foushee,F000477,Democratic,NC,NC,4.0,4.0,NC-04,https://foushee.house.gov,371,11,0,0,0,382,371,0.0,100.0,2.9,456913.0,,Q16729064,Valerie,Foushee,2452 Rayburn House Office Building,2452 Rayburn House Office Building Washington DC 20515-3304,202-225-1784,2025-01-03,2027-01-03
Ross,Deborah K. Ross,R000305,Democratic,NC,NC,2.0,2.0,NC-02,https://ross.house.gov,377,0,1,4,0,382,381,1.0,99.0,0.0,456831.0,,Q5248285,Deborah,Ross,1221 Longworth House Office Building,1221 Longworth House Office Building Washington DC 20515-3302,202-225-3032,2025-01-03,2027-01-03
Goodlander,Maggie Goodlander,G000604,Democratic,NH,NH,2.0,2.0,NH-02,https://goodlander.house.gov,343,0,2,37,0,382,380,9.7,90.3,0.0,457007.0,,Q126718734,Maggie,Goodlander,223 Cannon House Office Building,223 Cannon House Office Building Washington DC 20515-2902,202-225-5206,2025-01-03,2027-01-03
Pappas,Chris Pappas,P000614,Democratic,NH,NH,1.0,1.0,NH-01,https://pappas.house.gov,340,0,2,40,0,382,380,10.5,89.5,0.0,412795.0,21951.0,Q5107684,Chris,Pappas,452 Cannon House Office Building,452 Cannon House Office Building Washington DC 20515-2901,202-225-5456,2025-01-03,2027-01-03
Conaway,"Herbert C. Conaway, Jr.",C001136,Democratic,NJ,NJ,3.0,3.0,NJ-03,https://conaway.house.gov,358,6,2,16,0,382,374,4.3,95.7,1.6,457008.0,,Q14596151,Herbert,Conaway,1022 Longworth House Office Building,1022 Longworth House Office Building Washington DC 20515-3003,202-225-4765,2025-01-03,2027-01-03
Gottheimer,Josh Gottheimer,G000583,Democratic,NJ,NJ,5.0,5.0,NJ-05,https://gottheimer.house.gov,296,44,0,42,0,382,338,12.4,87.6,11.5,412714.0,21723.0,Q6288908,Josh,Gottheimer,106 Cannon House Office Building,106 Cannon House Office Building Washington DC 20515-3005,202-225-4465,2025-01-03,2027-01-03
McIver,LaMonica McIver,M001229,Democratic,NJ,NJ,10.0,10.0,NJ-10,https://mciver.house.gov,381,1,0,0,0,382,381,0.0,100.0,0.3,456962.0,,Q130323710,LaMonica,McIver,426 Cannon House Office Building,426 Cannon House Office Building Washington DC 20515-3010,202-225-3436,2025-01-03,2027-01-03
Mejia,Analilia Mejia,M001246,Democratic,NJ,NJ,11.0,11.0,NJ-11,https://mejia.house.gov,31,0,0,1,0,32,32,3.1,96.9,0.0,457042.0,,Q138142530,Analilia,Mejia,1427 Longworth House Office Building,1427 Longworth House Office Building Washington DC 20515-3011,202-225-5034,2026-04-20,2027-01-03
Menendez,Robert Menendez,M001226,Democratic,NJ,NJ,8.0,8.0,NJ-08,https://menendez.house.gov,378,0,0,4,0,382,382,1.0,99.0,0.0,456918.0,,Q115137457,Robert,Menendez,2453 Rayburn House Office Building,2453 Rayburn House Office Building Washington DC 20515-3008,202-225-7919,2025-01-03,2027-01-03
Norcross,Donald Norcross,N000188,Democratic,NJ,NJ,1.0,1.0,NJ-01,https://norcross.house.gov,315,59,0,8,0,382,323,2.5,97.5,15.4,412606.0,21536.0,Q5294942,Donald,Norcross,2427 Rayburn House Office Building,2427 Rayburn House Office Building Washington DC 20515-3001,202-225-6501,2025-01-03,2027-01-03
Pallone,"Frank Pallone, Jr.",P000034,Democratic,NJ,NJ,6.0,6.0,NJ-06,https://pallone.house.gov,375,2,1,4,0,382,379,1.1,98.9,0.5,400308.0,15454.0,Q965289,Frank,Pallone,2107 Rayburn House Office Building,2107 Rayburn House Office Building Washington DC 20515-3006,202-225-4671,2025-01-03,2027-01-03
Pou,Nellie Pou,P000621,Democratic,NJ,NJ,9.0,9.0,NJ-09,https://pou.house.gov,368,0,1,13,0,382,381,3.4,96.6,0.0,457009.0,,Q6990132,Nellie,Pou,1007 Longworth House Office Building,1007 Longworth House Office Building Washington DC 20515-3009,202-225-5751,2025-01-03,2027-01-03
Sherrill,,,Democratic,NJ,NJ,,,,,94,102,0,7,0,203,101,6.9,93.1,50.2,,,,,,,,,,
Watson Coleman,,,Democratic,NJ,NJ,,,,,377,5,0,0,0,382,377,0.0,100.0,1.3,,,,,,,,,,
Leger Fernandez,,,Democratic,NM,NM,,,,,347,31,0,4,0,382,351,1.1,98.9,8.1,,,,,,,,,,
Stansbury,Melanie A. Stansbury,S001218,Democratic,NM,NM,1.0,1.0,NM-01,https://stansbury.house.gov,373,8,0,1,0,382,374,0.3,99.7,2.1,456861.0,,Q96184996,Melanie,Stansbury,1421 Longworth House Office Building,1421 Longworth House Office Building Washington DC 20515-3101,202-225-6316,2025-01-03,2027-01-03
Vasquez,Gabe Vasquez,V000136,Democratic,NM,NM,2.0,2.0,NM-02,https://vasquez.house.gov,339,2,0,41,0,382,380,10.8,89.2,0.5,456919.0,,Q115155647,Gabriel (Gabe),Vasquez,322 Cannon House Office Building,322 Cannon House Office Building Washington DC 20515-3102,202-225-2365,2025-01-03,2027-01-03
Horsford,Steven Horsford,H001066,Democratic,NV,NV,4.0,4.0,NV-04,https://horsford.house.gov,343,5,2,32,0,382,375,8.5,91.5,1.3,412559.0,21339.0,Q3514907,Steven,Horsford,406 Cannon House Office Building,406 Cannon House Office Building Washington DC 20515-2804,202-225-9894,2025-01-03,2027-01-03
Lee (NV),Susie Lee,L000590,Democratic,NV,NV,3.0,3.0,NV-03,https://susielee.house.gov,332,4,1,45,0,382,377,11.9,88.1,1.0,412802.0,21938.0,Q58333611,Susie,Lee,365 Cannon House Office Building,365 Cannon House Office Building Washington DC 20515-2803,202-225-3252,2025-01-03,2027-01-03
Titus,Dina Titus,T000468,Democratic,NV,NV,1.0,1.0,NV-01,https://titus.house.gov,328,39,1,14,0,382,342,4.1,95.9,10.2,412318.0,20927.0,Q524440,Dina,Titus,2370 Rayburn House Office Building,2370 Rayburn House Office Building Washington DC 20515-2801,202-225-5965,2025-01-03,2027-01-03
Clarke (NY),Yvette D. Clarke,C001067,Democratic,NY,NY,9.0,9.0,NY-09,https://clarke.house.gov,369,12,0,1,0,382,370,0.3,99.7,3.1,412221.0,20733.0,Q461679,Yvette,Clarke,2058 Rayburn House Office Building,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,2025-01-03,2027-01-03
Espaillat,Adriano Espaillat,E000297,Democratic,NY,NY,13.0,13.0,NY-13,https://espaillat.house.gov,375,4,0,3,0,382,378,0.8,99.2,1.0,412718.0,21715.0,Q4685569,Adriano,Espaillat,2332 Rayburn House Office Building,2332 Rayburn House Office Building Washington DC 20515-3213,202-225-4365,2025-01-03,2027-01-03
Gillen,Laura Gillen,G000602,Democratic,NY,NY,4.0,4.0,NY-04,https://gillen.house.gov,309,11,1,61,0,382,370,16.5,83.5,2.9,457010.0,,Q131105202,Laura,Gillen,428 Cannon House Office Building,428 Cannon House Office Building Washington DC 20515-3204,202-225-5516,2025-01-03,2027-01-03
Goldman (NY),Daniel S. Goldman,G000599,Democratic,NY,NY,10.0,10.0,NY-10,https://goldman.house.gov,354,21,0,7,0,382,361,1.9,98.1,5.5,456923.0,,Q74849175,Dan,Goldman,245 Cannon House Office Building,245 Cannon House Office Building Washington DC 20515-3210,202-225-7944,2025-01-03,2027-01-03
Jeffries,Hakeem S. Jeffries,J000294,Democratic,NY,NY,8.0,8.0,NY-08,https://jeffries.house.gov,377,0,1,4,0,382,381,1.0,99.0,0.0,412561.0,21343.0,Q5640425,Hakeem,Jeffries,2267 Rayburn House Office Building,2267 Rayburn House Office Building Washington DC 20515-3208,202-225-5936,2025-01-03,2027-01-03
Kennedy (NY),Timothy M. Kennedy,K000402,Democratic,NY,NY,26.0,26.0,NY-26,https://kennedy.house.gov,370,0,0,12,0,382,382,3.1,96.9,0.0,456957.0,,Q7807373,Timothy,Kennedy,423 Cannon House Office Building,423 Cannon House Office Building Washington DC 20515-3226,202-225-3306,2025-01-03,2027-01-03
Latimer,George Latimer,L000606,Democratic,NY,NY,16.0,16.0,NY-16,https://latimer.house.gov,360,11,1,10,0,382,370,2.7,97.3,2.9,457011.0,,Q5544169,George,Latimer,1507 Longworth House Office Building,1507 Longworth House Office Building Washington DC 20515-3216,202-225-2464,2025-01-03,2027-01-03
Mannion,John W. Mannion,M001231,Democratic,NY,NY,22.0,22.0,NY-22,https://mannion.house.gov,356,0,0,26,0,382,382,6.8,93.2,0.0,457013.0,,Q106089566,John,Mannion,1516 Longworth House Office Building,1516 Longworth House Office Building Washington DC 20515-3222,202-225-3701,2025-01-03,2027-01-03
Meeks,Gregory W. Meeks,M001137,Democratic,NY,NY,5.0,5.0,NY-05,https://meeks.house.gov,363,12,1,6,0,382,369,1.6,98.4,3.1,400271.0,29776.0,Q1545391,Gregory,Meeks,2310 Rayburn House Office Building,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461,2025-01-03,2027-01-03
Meng,Grace Meng,M001188,Democratic,NY,NY,6.0,6.0,NY-06,https://meng.house.gov,367,10,0,5,0,382,372,1.3,98.7,2.6,412560.0,21342.0,Q5591303,Grace,Meng,2468 Rayburn House Office Building,2468 Rayburn House Office Building Washington DC 20515-3206,202-225-2601,2025-01-03,2027-01-03
Morelle,Joseph D. Morelle,M001206,Democratic,NY,NY,25.0,25.0,NY-25,https://morelle.house.gov,363,5,1,13,0,382,376,3.5,96.5,1.3,412749.0,21761.0,Q6285623,Joseph,Morelle,570 Cannon House Office Building,570 Cannon House Office Building Washington DC 20515-3225,202-225-3615,2025-01-03,2027-01-03
Nadler,Jerrold Nadler,N000002,Democratic,NY,NY,12.0,12.0,NY-12,https://nadler.house.gov,340,42,0,0,0,382,340,0.0,100.0,11.0,400289.0,29377.0,Q505598,Jerrold,Nadler,2132 Rayburn House Office Building,2132 Rayburn House Office Building Washington DC 20515-3212,202-225-5635,2025-01-03,2027-01-03
Ocasio-Cortez,,,Democratic,NY,NY,,,,,370,12,0,0,0,382,370,0.0,100.0,3.1,,,,,,,,,,
Riley (NY),Josh Riley,R000622,Democratic,NY,NY,19.0,19.0,NY-19,https://riley.house.gov,331,6,0,45,0,382,376,12.0,88.0,1.6,457012.0,,Q113988129,Josh,Riley,128 Cannon House Office Building,128 Cannon House Office Building Washington DC 20515-3219,202-225-5441,2025-01-03,2027-01-03
Ryan,Patrick Ryan,R000579,Democratic,NY,NY,18.0,18.0,NY-18,https://patryan.house.gov,348,1,0,33,0,382,381,8.7,91.3,0.3,456871.0,,Q113587887,Patrick,Ryan,1708 Longworth House Office Building,1708 Longworth House Office Building Washington DC 20515-3218,202-225-5614,2025-01-03,2027-01-03
Suozzi,Thomas R. Suozzi,S001201,Democratic,NY,NY,3.0,3.0,NY-03,https://suozzi.house.gov,316,7,0,59,0,382,375,15.7,84.3,1.8,412717.0,21747.0,Q7794276,Thomas,Suozzi,203 Cannon House Office Building,203 Cannon House Office Building Washington DC 20515-3203,202-225-3335,2025-01-03,2027-01-03
Tonko,Paul Tonko,T000469,Democratic,NY,NY,20.0,20.0,NY-20,https://tonko.house.gov,377,4,0,1,0,382,378,0.3,99.7,1.0,412319.0,20934.0,Q1373548,Paul,Tonko,2269 Rayburn House Office Building,2269 Rayburn House Office Building Washington DC 20515-3220,202-225-5076,2025-01-03,2027-01-03
Torres (NY),Ritchie Torres,T000486,Democratic,NY,NY,15.0,15.0,NY-15,https://ritchietorres.house.gov,360,9,0,13,0,382,373,3.5,96.5,2.4,456838.0,,Q16205227,Ritchie,Torres,1414 Longworth House Office Building,1414 Longworth House Office Building Washington DC 20515-3215,202-225-4361,2025-01-03,2027-01-03
Velázquez,Nydia M. Velázquez,V000081,Democratic,NY,NY,7.0,7.0,NY-07,https://velazquez.house.gov,369,12,0,1,0,382,370,0.3,99.7,3.1,400416.0,29378.0,Q434890,Nydia,Velázquez,2302 Rayburn House Office Building,2302 Rayburn House Office Building Washington DC 20515-3207,202-225-2361,2025-01-03,2027-01-03
Beatty,Joyce Beatty,B001281,Democratic,OH,OH,3.0,3.0,OH-03,https://beatty.house.gov,349,26,1,6,0,382,355,1.7,98.3,6.8,412565.0,21352.0,Q976417,Joyce,Beatty,2079 Rayburn House Office Building,2079 Rayburn House Office Building Washington DC 20515-3503,202-225-4324,2025-01-03,2027-01-03
Brown,Shontel M. Brown,B001313,Democratic,OH,OH,11.0,11.0,OH-11,https://shontelbrown.house.gov,380,0,0,2,0,382,382,0.5,99.5,0.0,456863.0,,Q107863952,Shontel,Brown,2455 Rayburn House Office Building,2455 Rayburn House Office Building Washington DC 20515-3511,202-225-7032,2025-01-03,2027-01-03
Kaptur,Marcy Kaptur,K000009,Democratic,OH,OH,9.0,9.0,OH-09,https://kaptur.house.gov,330,7,6,39,0,382,369,10.6,89.4,1.8,400211.0,15029.0,Q436537,Marcy,Kaptur,2314 Rayburn House Office Building,2314 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,2025-01-03,2027-01-03
Landsman,Greg Landsman,L000601,Democratic,OH,OH,1.0,1.0,OH-01,https://landsman.house.gov,339,1,1,41,0,382,380,10.8,89.2,0.3,456928.0,,Q115180677,Greg,Landsman,2244 Rayburn House Office Building,2244 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,2025-01-03,2027-01-03
Sykes,Emilia Strong Sykes,S001223,Democratic,OH,OH,13.0,13.0,OH-13,https://sykes.house.gov,351,11,1,19,0,382,370,5.1,94.9,2.9,456930.0,,Q18637943,Emilia,Sykes,1217 Longworth House Office Building,1217 Longworth House Office Building Washington DC 20515-3513,202-225-6265,2025-01-03,2027-01-03
Bonamici,Suzanne Bonamici,B001278,Democratic,OR,OR,1.0,1.0,OR-01,https://bonamici.house.gov,380,2,0,0,0,382,380,0.0,100.0,0.5,412501.0,21198.0,Q45946,Suzanne,Bonamici,2231 Rayburn House Office Building,2231 Rayburn House Office Building Washington DC 20515-3701,202-225-0855,2025-01-03,2027-01-03
Bynum,Janelle S. Bynum,B001326,Democratic,OR,OR,5.0,5.0,OR-05,https://bynum.house.gov,358,1,2,21,0,382,379,5.5,94.5,0.3,457016.0,,Q28507879,Janelle,Bynum,1508 Longworth House Office Building,1508 Longworth House Office Building Washington DC 20515-3705,202-225-5711,2025-01-03,2027-01-03
Dexter,Maxine Dexter,D000635,Democratic,OR,OR,3.0,3.0,OR-03,https://dexter.house.gov,381,1,0,0,0,382,381,0.0,100.0,0.3,457015.0,,Q96777172,Maxine,Dexter,1207 Longworth House Office Building,1207 Longworth House Office Building Washington DC 20515-3703,202-225-4811,2025-01-03,2027-01-03
Hoyle (OR),Val T. Hoyle,H001094,Democratic,OR,OR,4.0,4.0,OR-04,https://hoyle.house.gov,364,6,1,11,0,382,375,2.9,97.1,1.6,456932.0,,Q7909103,Valerie,Hoyle,1620 Longworth House Office Building,1620 Longworth House Office Building Washington DC 20515-3704,202-225-6416,2025-01-03,2027-01-03
